Origin,Country,Country,Country,Country
Antigua and Barbuda, Israel,Visa required,,
Antigua and Barbuda, Italy,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Jamaica,Visa not required,6 months,Holders of Caricom Certificate of Skills can stay indefinitely.
Antigua and Barbuda, Japan,Visa required,,
Antigua and Barbuda, Jordan,Visa on arrival,,
Antigua and Barbuda, Kazakhstan,Visa required,,
Antigua and Barbuda, Kenya,eVisa,3 months,
Antigua and Barbuda, Kiribati,Visa not required,30 days,
Antigua and Barbuda, North Korea,Visa required,,
Antigua and Barbuda, South Korea,Visa not required,90 days,
Antigua and Barbuda, Kuwait,Visa required,,
Antigua and Barbuda, Kyrgyzstan,eVisa,,"Electronic visa holders must arrive via Manas International Airport or Osh Airport or through land crossings with China (at Irkeshtam and Torugart), Kazakhstan (at Ak-jol, Ak-Tilek, Chaldybar, Chon-Kapka), Tajikistan (at Bor-Dobo, Kulundu, Kyzyl-Bel) and Uzbekistan (at Dostuk).[100]"
Antigua and Barbuda, Laos,eVisa / Visa on arrival,30 days,"Visa on arrival is available at Luangphabang, Pakse, Savannakhet and Vientiane international airports, the 4 Thai-Lao Friendship Bridges,[Note 3] 13 border crossings,[Note 4] and Tanalaeng train station in Vientiane.[102] Visa on arrival facilities will be gradually phased out starting in January 2020.[103]eVisa may be used to enter Laos through Wattay International Airport and the First Thai–Lao Friendship BridgeThe Lalai, Lantui, Meuang mom, Pakxan, and Phoudou border crossings are open only to visa holders.Visa on arrival is extendable up to 60 days."
Antigua and Barbuda, Latvia,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Lebanon,Visa on arrival,1 month,"1 month extendable for 2 additional monthsGranted free of charge at Beirut International Airport or any other port of entry if there is no Israeli visa or seal, holding a telephone number, an address in Lebanon, and a non refundable return or circle trip ticket."
Antigua and Barbuda, Lesotho,Visa not required,30 days,
Antigua and Barbuda, Liberia,Visa required,,
Antigua and Barbuda, Libya,Visa required,,
Antigua and Barbuda, Liechtenstein,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Lithuania,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Luxembourg,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Madagascar,eVisa / Visa on arrival,90 days,
Antigua and Barbuda, Malawi,Visa not required,90 days,
Antigua and Barbuda, Malaysia,Visa not required,30 days,
Antigua and Barbuda, Maldives,Visa on arrival,30 days[55],
Antigua and Barbuda, Mali,Visa required,,
Antigua and Barbuda, Malta,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Marshall Islands,Visa required,,
Antigua and Barbuda, Mauritania,Visa on arrival,,Available at Nouakchott–Oumtounsy International Airport.
Antigua and Barbuda, Mauritius,Visa not required,90 days,
Antigua and Barbuda, Mexico,Visa required,,
Antigua and Barbuda, Micronesia,Visa not required,30 days,
Antigua and Barbuda, Moldova,Visa not required,90 days,90 days within any 180 day period
Antigua and Barbuda, Monaco,Visa not required,,
Antigua and Barbuda, Mongolia,Visa required,,
Antigua and Barbuda, Montenegro,Visa not required,90 days,
Antigua and Barbuda, Morocco,Visa required,,
Antigua and Barbuda, Mozambique,Visa on arrival,30 days,
Antigua and Barbuda, Myanmar,Visa required,,
Antigua and Barbuda, Namibia,Visa required,,
Antigua and Barbuda, Nauru,Visa required,,
Antigua and Barbuda,   Nepal,Visa on arrival,30 days,
Antigua and Barbuda, Netherlands,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, New Zealand,Visa required,,"Holders of an Australian Permanent Resident Visa or Resident Return Visa may be granted a New Zealand Resident Visa on arrival permitting indefinite stay (pursuant to the Trans-Tasman Travel Arrangement), subject to meeting character requirements and obtaining an Electronic Travel Authority prior to departure.[135]"
Antigua and Barbuda, Nicaragua,Visa not required,90 days,
Antigua and Barbuda, Niger,Visa required,,
Antigua and Barbuda, Nigeria,eVisa,,
Antigua and Barbuda, North Macedonia,Visa not required,90 days,
Antigua and Barbuda, Norway,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Oman,Visa required,,
Antigua and Barbuda, Pakistan,Online Visa,,
Antigua and Barbuda, Palau,Visa on arrival,30 days,
Antigua and Barbuda, Panama,Visa not required,3 months,
Antigua and Barbuda, Papua New Guinea,Easy Visitor Permit,30 days,
Antigua and Barbuda, Paraguay,Visa required,,
Antigua and Barbuda, Peru,Visa not required,180 days,
Antigua and Barbuda, Philippines,Visa not required,30 days,
Antigua and Barbuda, Poland,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Portugal,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Qatar,Visa not required,90 days,
Antigua and Barbuda, Romania,Visa not required,3 months,3 months within any 6-month period
Antigua and Barbuda, Russia,Visa not required,90 days,90 days within any 180 day period
Antigua and Barbuda, Rwanda,eVisa / Visa on arrival,30 days,
Antigua and Barbuda, Rwanda,eVisa / Visa on arrival,30 days,
Antigua and Barbuda, Rwanda,eVisa / Visa on arrival,30 days,
Antigua and Barbuda, Rwanda,eVisa / Visa on arrival,30 days,
Antigua and Barbuda, Samoa,Entry Permit on arrival,60 days,
Antigua and Barbuda, San Marino,Visa not required,,
Antigua and Barbuda, São Tomé and Príncipe,eVisa,,
Antigua and Barbuda, Saudi Arabia,Visa required,,
Antigua and Barbuda, Senegal,Visa on arrival,,
Antigua and Barbuda, Serbia,Visa not required,90 days,90 days within any 180 day period
Antigua and Barbuda, Seychelles,Visitor's Permit on arrival,3 months[55],
Antigua and Barbuda, Sierra Leone,Visa on arrival,,
Antigua and Barbuda, Singapore,Visa not required,30 days,
Antigua and Barbuda, Slovakia,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Slovenia,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Solomon Islands,Permit on arrival,30 days,
Antigua and Barbuda, Somalia,Visa on arrival,30 days,"Available at Bosaso Airport, Galcaio Airport and Mogadishu Airport."
Antigua and Barbuda, South Africa,Visa not required,30 days,
Antigua and Barbuda, South Sudan,Electronic Visa,,Obtainable online[176]Printed visa authorization must be presented at the time of travel[176]
Antigua and Barbuda, Spain,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Sri Lanka,Electronic Travel Authorization,30 days,Must hold return or onward ticket
Antigua and Barbuda, Sudan,Visa required,,
Antigua and Barbuda, Suriname,Visa not required,6 months,Holders of Caricom Certificate of Skills can stay indefinitely.
Antigua and Barbuda, Sweden,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda,  Switzerland,Visa not required,3 months,3 months during a 6 months period following the date of first entry in the Schengen Area
Antigua and Barbuda, Syria,Visa required,,
Antigua and Barbuda, Tajikistan,eVisa,45 days,
Antigua and Barbuda, Tanzania,Visa not required,3 months,
Antigua and Barbuda, Thailand,Visa required,,
Antigua and Barbuda, Timor-Leste,Visa on arrival,30 days,
Antigua and Barbuda, Togo,Visa on arrival,7 days,
Antigua and Barbuda, Tonga,Visa required,,
Antigua and Barbuda, Trinidad and Tobago,Visa not required,6 months,Holders of Caricom Certificate of Skills can stay indefinitely.
Antigua and Barbuda, Tunisia,Visa not required,90 days,
Antigua and Barbuda, Turkey,eVisa,30 days,
Antigua and Barbuda, Turkmenistan,Visa required,,
Antigua and Barbuda, Tuvalu,Visa on arrival,1 month,
Antigua and Barbuda, Uganda,Visa not required,90 days,
Antigua and Barbuda, Ukraine,Visa not required,90 days,90 days within any 180 day period
Antigua and Barbuda, United Arab Emirates,Visa required,,
Antigua and Barbuda, United Kingdom,Visa not required,6 months,
Antigua and Barbuda, United States,Visa required,,
Antigua and Barbuda, Uruguay,Visa required,,
Antigua and Barbuda, Uzbekistan,Visa not required,30 days,
Antigua and Barbuda, Vanuatu,Visa not required,30 days,
Antigua and Barbuda,  Vatican City,Visa not required,,
Antigua and Barbuda, Venezuela,Visa not required,90 days,
Antigua and Barbuda, Vietnam,Visa required,,
Antigua and Barbuda, Yemen,Visa required,,
Antigua and Barbuda, Zambia,Visa not required,90 days,
Antigua and Barbuda, Zimbabwe,Visa not required,3 months,
Origin,Country,Country,Country,Country
Argentine, Afghanistan,Visa required,,
Argentine, Albania,Visa not required,90 days,
Argentine, Algeria,Visa required,,
Argentine, Andorra,Visa not required,,
Argentine, Angola,eVisa,30 days,Visitors who have been granted an online pre-visa or have requested a pre-visa from an Angolan consulate abroad are issued a visa upon arrival at the country's border crossings.Maximum total stay of 90 days within a one-year period.[13]Visitors must have a return/onward ticket and a hotel reservation confirmation.[14]
Argentine, Antigua and Barbuda,Visa not required,1 month,
Argentine, Armenia,Visa not required,180 days,
Argentine, Australia,Visa required,,May apply online (Online Visitor e600 visa). Transit visa is not required.[19]
Argentine, Austria,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Azerbaijan,eVisa,30 days[22],
Argentine, Bahamas,Visa not required,3 months,
Argentine, Bahrain,eVisa / Visa on arrival,14 days,Visa is also obtainable online.[25]
Argentine, Bangladesh,Visa on arrival,30 days,Not available at all entry points.[27]
Argentine, Barbados,Visa not required,6 months,
Argentine, Belarus,Visa not required,90 days,90 days within any year period[30]
Argentine, Belgium,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Belize,Visa not required,90 days,
Argentine, Benin,eVisa / Visa on arrival,30 days / 8 days,Must have an international vaccination certificate.
Argentine, Bhutan,Visa required,,
Argentine, Bolivia,Visa not required,90 days,"National Identity Document acceptedArgentinians can live and work legally in Bolivia under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen for over 5 years, and passing a background check."
Argentine, Bosnia and Herzegovina,Visa not required,90 days,90 days within any 6-month period
Argentine, Botswana,Visa not required,90 days,90 days per year
Argentine, Brazil,Visa not required,90 days,"National Identity Document acceptedArgentinians can live and work legally in Brazil under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen, for over 5 years and passing a background check.Argentinians may request lawful permanent resident status in Brazil at any time.[40]"
Argentine, Brunei,Visa required,,
Argentine, Bulgaria,Visa not required,90 days,90 days within any 180 day period
Argentine, Burkina Faso,Visa on arrival,90 days,
Argentine, Burundi,Visa required,,
Argentine, Cambodia,eVisa / Visa on arrival,30 days,Visa is also obtainable online.[46]
Argentine, Cameroon,Visa required,,
Argentine, Canada,Visa required,,
Argentine, Cape Verde,Visa on arrival,,Not available at all entry points.[50]
Argentine, Central African Republic,Visa required,,
Argentine, Chad,Visa required,,
Argentine, Chile,Visa not required,90 days,"National Identity Document acceptedArgentinians can live and work legally in Chile under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen for over 5 years, and passing a background check."
Argentine, China,Visa required,,"24-hour visa-free transit through China (unless arriving in Fuzhou, Huangshan, Mudanjiang, Shenzhen or Yanji).72-hour visa-free transit through Changsha, Guilin and Harbin.144-hour visa-free transit through Beijing, Chengdu, Chongqing, Dalian, Guangzhou, Hangzhou, Jieyang, Kunming, Nanjing, Ningbo, Qinhuangdao, Qingdao, Shanghai, Shenyang, Shenzhen, Shijiazhuang, Tianjin, Wuhan, Xiamen and Xi'an.[55]Hong Kong, Macau, and Taiwan count as third countries under the 24, 72 and 144-hours transit without visa (TWOV) policies.All TWOV programs are currently suspended due to the coronavirus pandemic.[56]"
Argentine, Colombia,Visa not required,90 days,"National Identity Document acceptedArgentinians can live and work legally in Colombia under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen for over 5 years, and passing a background check."
Argentine, Comoros,Visa on arrival,,
Argentine, Republic of the Congo,Visa required,,
Argentine, Democratic Republic of the Congo,Visa required,,
Argentine, Costa Rica,Visa not required,90 days,
Argentine, Côte d'Ivoire,eVisa,3 months,eVisa holders must arrive via Port Bouet Airport.
Argentine, Croatia,Visa not required,90 days,90 days within any 180 day period
Argentine, Cuba,Tourist Card required,,
Argentine, Cyprus,Visa not required,90 days,90 days within any 180 day period
Argentine, Czech Republic,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Denmark,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Djibouti,eVisa,31 days,
Argentine, Dominica,Visa not required,6 months,
Argentine, Dominican Republic,Visa not required,90 days,
Argentine, Ecuador,Visa not required,90 days[72],"National Identity Document acceptedArgentinians can live and work legally in Ecuador under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen for over 5 years, and passing a background check."
Argentine, Egypt,Visa on arrival,30 days,
Argentine, El Salvador,Visa not required,3 months,
Argentine, Equatorial Guinea,Visa required,,
Argentine, Eritrea,Visa required,,
Argentine, Estonia,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Eswatini,Visa not required,30 days[72],
Argentine, Ethiopia,eVisa / Visa on arrival,up to 90 days,Visa on arrival is obtainable only at Addis Ababa Bole International Airport.[80]eVisa holders must arrive via Addis Ababa Bole International Airport.eVisas are available for 30 or 90 days.[81]
Argentine, Fiji,Visa not required,4 months,
Argentine, Finland,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, France,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Gabon,eVisa / Visa on arrival,,Electronic visa holders must arrive via Libreville International Airport.[86]
Argentine, Gambia,Visa not required,,An entry clearance must be obtained from the Gambian Immigration prior to travel.[88]
Argentine, Georgia,Visa not required,1 year,
Argentine, Germany,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Ghana,Visa required,,
Argentine, Greece,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Grenada,Visa not required,30 days[94],"Beginning on 1 December 2020, all travellers to Grenada will be required to complete an online application in order to receive a Pure Safe Travel Authorization Certificate to enter Grenada.[95]"
Argentine, Guatemala,Visa not required,90 days,
Argentine, Guinea,Visa required,,
Argentine, Guinea-Bissau,eVisa / Visa on arrival,90 days,
Argentine, Guyana,Visa not required,90 days,
Argentine, Haiti,Visa not required,3 months,
Argentine, Honduras,Visa not required,3 months,
Argentine, Hungary,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Iceland,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, India,e-Visa,60 days,e-Visa holders must arrive via 26 designated airports[Note 1] or 3 designated seaports.[Note 2][105]An Indian e-Tourist Visa can only be obtained twice in one calendar year.
Argentine, Indonesia,Visa not required,30 days,
Argentine, Iran,eVisa / Visa on arrival,30 days,
Argentine, Iraq,Visa required,,
Argentine, Ireland,Visa not required,90 days,
Argentine, Israel,Visa not required,3 months,
Argentine, Italy,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Jamaica,Visa not required,30 days,
Argentine, Japan,Visa not required,90 days,
Argentine, Jordan,Visa on arrival,,Conditions apply.[115]Not available at all entry points.[116]
Argentine, Kazakhstan,Visa not required,30 days,30 days within any year period
Argentine, Kenya,eVisa,3 months,
Argentine, Kiribati,Visa required,,
Argentine, North Korea,Visa required,,
Argentine, South Korea,Visa not required,30 days,
Argentine, Kuwait,Visa required,,
Argentine, Kyrgyzstan,Visa not required,60 days,
Argentine, Laos,eVisa / Visa on arrival,30 days,"Visa on arrival is available at Luangphabang, Pakse, Savannakhet and Vientiane international airports, the 4 Thai-Lao Friendship Bridges,[Note 3] 13 border crossings,[Note 4] and Tanalaeng train station in Vientiane.[126] Visa on arrival facilities will be gradually phased out starting in January 2020.[127]eVisa may be used to enter Laos through Wattay International Airport and the First Thai–Lao Friendship BridgeThe Lalai, Lantui, Meuang mom, Pakxan, and Phoudou border crossings are open only to visa holders.Visa on arrival is extendable up to 60 days."
Argentine, Latvia,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Lebanon,Visa on arrival,1 month,"Extendable for 2 additional monthsGranted free of charge at Beirut International Airport or any other port of entry if there is no Israeli visa or seal, holding a telephone number, an address in Lebanon, and a non refundable return of circle trip ticket."
Argentine, Lesotho,eVisa,,
Argentine, Liberia,Visa required,,
Argentine, Libya,Visa required,,
Argentine, Liechtenstein,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Lithuania,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Luxembourg,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Madagascar,eVisa / Visa on arrival,90 days,
Argentine, Malawi,Visa on arrival,,
Argentine, Malaysia,Visa not required,3 months,
Argentine, Maldives,Visa on arrival,30 days[72],
Argentine, Mali,Visa required,,
Argentine, Malta,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Marshall Islands,Visa on arrival,90 days,
Argentine, Mauritania,Visa on arrival,,Available at Nouakchott–Oumtounsy International Airport.
Argentine, Mauritius,Visa not required,90 days,
Argentine, Mexico,Visa not required,180 days,
Argentine, Micronesia,Visa not required,30 days,
Argentine, Moldova,Visa not required,90 days,90 days within any 180 day period
Argentine, Monaco,Visa not required,,
Argentine, Mongolia,Visa not required,90 days,
Argentine, Montenegro,Visa not required,90 days,90 days within any 180 day period
Argentine, Morocco,Visa not required,3 months,
Argentine, Mozambique,Visa on arrival,30 days,Conditions apply[154]
Argentine, Myanmar,eVisa,28 days,"eVisa holders must arrive via Yangon, Nay Pyi Taw or Mandalay airports or via land border crossings with Thailand — Tachileik, Myawaddy and Kawthaung or India — Rih Khaw Dar and Tamu.eVisa is available for tourism only."
Argentine, Namibia,Visa required,,
Argentine, Nauru,Visa required,,
Argentine,   Nepal,Visa on arrival,90 days,
Argentine, Netherlands,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, New Zealand,Electronic Travel Authority,3 months,"International Visitor Conservation and Tourism Levy must be paid upon requesting an Electronic Travel Authority.[161]Holders of an Australian Permanent Resident Visa or Resident Return Visa may be granted a New Zealand Resident Visa on arrival permitting indefinite stay (pursuant to the Trans-Tasman Travel Arrangement), subject to meeting character requirements and obtaining an Electronic Travel Authority prior to departure.[162]  Such travellers are not required to pay the International Visitor Conservation and Tourism Levy.[161]"
Argentine, Nicaragua,Visa not required,90 days,
Argentine, Niger,Visa required,,
Argentine, Nigeria,Visa required,,
Argentine, North Macedonia,Visa not required,90 days,
Argentine, Norway,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Oman,Visa not required,14 days,
Argentine, Pakistan,Electronic Travel Authorization,,Electronic Travel Authorization to obtain a visa on arrival for tourism purposes.[170]Electronic Travel Authorization to obtain a visa on arrival for business purposes.[171]Online Visa eligible.[172]
Argentine, Palau,Visa on arrival,30 days,
Argentine, Panama,Visa not required,180 days,
Argentine, Papua New Guinea,eVisa / Free visa on arrival,30 days,
Argentine, Paraguay,Visa not required,90 days,"National Identity Document acceptedArgentinians can live and work legally in Paraguay under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen for over 5 years, and passing a background check."
Argentine, Peru,Visa not required,183 days,"National Identity Document acceptedArgentinians can live and work legally in Peru under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen for over 5 years, and passing a background check."
Argentine, Philippines,Visa not required,30 days,
Argentine, Poland,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Portugal,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Qatar,Visa not required,90 days,
Argentine, Romania,Visa not required,90 days,90 days within any 180 day period
Argentine, Russia,Visa not required,90 days,90 days within any 180 day period
Argentine, Rwanda,eVisa / Visa on arrival,30 days,
Argentine, Saint Kitts and Nevis,Visa not required,3 months,
Argentine, Saint Lucia,Visa not required,6 weeks,
Argentine, Saint Vincent and the Grenadines,Visa not required,1 month,
Argentine, Samoa,Entry Permit on arrival,60 days,
Argentine, San Marino,Visa not required,,
Argentine, São Tomé and Príncipe,eVisa,,
Argentine, Saudi Arabia,Visa required,,
Argentine, Senegal,Visa on arrival,90 days,
Argentine, Serbia,Visa not required,90 days,90 days within any 180 day period
Argentine, Seychelles,Visitor's Permit on arrival,3 months[72],
Argentine, Sierra Leone,Visa required,,
Argentine, Singapore,Visa not required,30 days,
Argentine, Slovakia,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Slovenia,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Solomon Islands,Visitor's permit on arrival,3 months,
Argentine, Somalia,Visa on arrival,30 days,"Available at Bosaso Airport, Galcaio Airport and Mogadishu Airport."
Argentine, South Africa,Visa not required,90 days,
Argentine, South Sudan,Electronic Visa,,Obtainable online[203]Printed visa authorization must be presented at the time of travel[203]
Argentine, Spain,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Sri Lanka,eVisa / Visa on arrival,30 days,
Argentine, Sudan,Visa required,,
Argentine, Suriname,Visa not required,90 days,
Argentine, Sweden,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine,  Switzerland,Visa not required,90 days,90 days within any 180 day period in the Schengen Area
Argentine, Syria,Visa required,,
Argentine, Tajikistan,Visa not required,30 days,Visa also available online.E-visa holders can enter through all border points.[212]
Argentine, Tanzania,eVisa / Visa on arrival,3 months,
Argentine, Thailand,Visa not required,3 months,
Argentine, Timor-Leste,Visa on arrival,30 days,Not available at all entry points.[217]
Argentine, Togo,Visa on arrival,7 days,
Argentine, Tonga,Visa required,,
Argentine, Trinidad and Tobago,Visa not required,90 days,
Argentine, Tunisia,Visa not required,90 days,
Argentine, Turkey,Visa not required,3 months,
Argentine, Turkmenistan,Visa required,,
Argentine, Tuvalu,Visa on arrival,1 month[72],
Argentine, Uganda,eVisa / Visa on arrival,,Determined at the port of entry. May apply online.[226]
Argentine, Ukraine,Visa not required,90 days,90 days within any 180 day period
Argentine, United Arab Emirates,Visa not required,90 days,
Argentine, United Kingdom and Crown dependencies,Visa not required,6 months,
Argentine, United States,Visa required,,
Argentine, Uruguay,Visa not required,3 months,"National Identity Document acceptedArgentinians can live and work legally in Uruguay under the Mercosur (and Associated Members) immigration agreement with no requirement other than being a citizen at birth or a naturalized citizen for over 5 years, and passing a background check."
Argentine, Uzbekistan,Visa not required,30 days,
Argentine, Vanuatu,Visa not required,30 days,
Argentine,  Vatican City,Visa not required,,
Argentine, Venezuela,Visa not required,90 days,National Identity Document accepted
Argentine, Vietnam,eVisa,30 days[237],
Argentine, Yemen,Visa required,,
Argentine, Zambia,eVisa / Visa on arrival,90 days,Also eligible for a universal visa allowing access to Zimbabwe.
Argentine, Zimbabwe,eVisa / Visa on arrival,90 days,Also eligible for a universal visa allowing access to Zambia.
Origin,Country,Country,Country,Country
Armenian, Afghanistan,Visa required,,
Armenian, Albania,Visa not required,90 days,90 days within any 180 day period
Armenian, Algeria,Visa required,,
Armenian, Andorra,Visa required,,
Armenian, Angola,Visa required,,
Armenian, Antigua and Barbuda,Visa not required,1 month,
Armenian, Argentina,Visa not required,90 days,
Armenian, Australia,Visa required,,May apply online (Online Visitor e600 visa).[10]
Armenian, Austria,Visa required,,
Armenian, Azerbaijan,Admission refused,,Merely having an Armenian-sounding surname can get one refused entry into Azerbaijan. See below.
Armenian, Bahamas,Visa not required,3 months,
Armenian, Bahrain,Visa required,,
Armenian, Bangladesh,Visa on arrival,30 days,
Armenian, Barbados,Visa not required,28 days,
Armenian, Belarus,Visa not required,,
Armenian, Belgium,Visa required,,
Armenian, Belize,Visa required,,"Visa not required, if passengers have with a valid visa issued by a Schengen Member State for a maximum stay of 90 days."
Armenian, Benin,eVisa / Visa on arrival,30 days / 8 days,Must have an international vaccination certificate.
Armenian, Bhutan,Visa required,,
Armenian, Bolivia,Visa on arrival,90 days,
Armenian, Bosnia and Herzegovina,Visa required,,Visa not required for a maximum stay of 7 days for valid visa holders or residents of the European Union member states.
Armenian, Botswana,Visa required,,
Armenian, Brazil,Visa not required,90 days,90 days within any 180 day period
Armenian, Brunei,Visa required,,
Armenian, Bulgaria,Visa required,,Visa not required for a maximum stay of 90 days within 180 days for valid visa holders or residents of the European Union member states.
Armenian, Burkina Faso,Visa required,,
Armenian, Burundi,Visa required,,
Armenian, Cambodia,eVisa / Visa on arrival,30 days,
Armenian, Cameroon,Visa required,,
Armenian, Canada,Visa required,,
Armenian, Cape Verde,Visa on arrival,,
Armenian, Central African Republic,Visa required,,
Armenian, Chad,Visa required,,
Armenian, Chile,Visa required,,
Armenian, China,Visa not required,90 days,90 days within any 180 day periodVisa-free access to  Hong Kong for 30 daysVisa-free access to  Macau for 90 days
Armenian, Colombia,Visa required,,E-visas can be obtained before departure at www.cancilleria.gov.co. Passengers must have a printed e-visa confirmation.
Armenian, Comoros,Visa on arrival,,
Armenian, Republic of the Congo,Visa required,,
Armenian, Democratic Republic of the Congo,Visa required,,
Armenian, Costa Rica,Visa required,,"Visa required, except for Passengers with a multiple-entry business or tourist visa issued by Canada, Iceland, Liechtenstein, Norway, Switzerland or an EU Member State"
Armenian, Côte d'Ivoire,eVisa,3 months,eVisa holders must arrive via Port Bouet Airport.
Armenian, Croatia,Visa required,,
Armenian, Cuba,Tourist Card required,30 days,Tourist Card can be extend up to 60 days maximum with a fee
Armenian, Cyprus,Visa required,,
Armenian, Czech Republic,Visa required,,
Armenian, Denmark,Visa required,,
Armenian, Djibouti,eVisa,31 days,
Armenian, Dominica,Visa not required,21 days,
Armenian, Dominican Republic,Visa required,,"Visa required, except for passengers with a valid visa issued by Bulgaria, Canada, Croatia, Cyprus, Ireland (Rep.), Romania, United States, United Kingdom or a Schengen Member State"
Armenian, Ecuador,Visa not required,90 days,
Armenian, Egypt,Visa required,,
Armenian, El Salvador,Visa required,,
Armenian, Equatorial Guinea,Visa required,,
Armenian, Eritrea,Visa required,,
Armenian, Estonia,Visa required,,
Armenian, Eswatini,Visa required,,
Armenian, Ethiopia,eVisa,up to 90 days,eVisa holders must arrive via Addis Ababa Bole International Airport
Armenian, Fiji,Visa required,,
Armenian, Finland,Visa required,,
Armenian, France,Visa required,,
Armenian, Gabon,eVisa,,eVisa holders must arrive via Libreville International Airport.
Armenian, Gambia,Visa required,,
Armenian, Georgia,Visa not required,1 year,
Armenian, Germany,Visa required,,
Armenian, Ghana,Visa required,,
Armenian, Greece,Visa required,,
Armenian, Grenada,Visa required,,
Armenian, Guatemala,Visa required,,
Armenian, Guinea,eVisa,90 days,
Armenian, Guinea-Bissau,Visa on arrival,90 days,
Armenian, Guyana,Visa required,,
Armenian, Haiti,Visa not required,3 months,
Armenian, Honduras,Visa required,,
Armenian, Hungary,Visa required,,
Armenian, Iceland,Visa required,,
Armenian, India,e-Visa,60 days,e-Visa holders must arrive via 26 designated airports[Note 1] or 3 designated seaports.[Note 2][80]An Indian e-Tourist Visa can only be obtained twice in one calendar year.
Armenian, Indonesia,Visa not required,30 days,
Armenian, Iran,Visa not required,90 days[83],90 days within any 180 day period
Armenian, Iraq,Visa required,,
Armenian, Ireland,Visa required,,
Armenian, Israel,Visa required,,
Armenian, Italy,Visa required,,
Armenian, Jamaica,Visa on arrival,,
Armenian, Japan,Visa required,,
Armenian, Jordan,Visa on arrival,3 months,
Armenian, Kazakhstan,Visa not required,90 days,90 days within any 180-day period.
Armenian, Kenya,Visa required,,
Armenian, Kiribati,Visa required,,
Armenian, North Korea,Visa required,,
Armenian, South Korea,Visa required,,Visa-Free access to Jeju Island for 30 days
Armenian, Kuwait,Visa required,,
Armenian, Kyrgyzstan,Visa not required,,
